month,keyword,search_interest
January,breathwork,1.9130434782608696
January,guided meditation,4.043478260869565
January,meditation,81.78260869565217
January,mindfulness,19.73913043478261
January,yoga nidra,2.9130434782608696
February,breathwork,1.95
February,guided meditation,3.85
February,meditation,77.95
February,mindfulness,19.95
February,yoga nidra,2.9
March,breathwork,1.9545454545454546
March,guided meditation,3.727272727272727
March,meditation,75.54545454545455
March,mindfulness,19.181818181818183
March,yoga nidra,2.8636363636363638
April,breathwork,2.0
April,guided meditation,3.6666666666666665
April,meditation,73.76190476190476
April,mindfulness,18.666666666666668
April,yoga nidra,2.761904761904762
May,breathwork,1.7272727272727273
May,guided meditation,3.590909090909091
May,meditation,71.68181818181819
May,mindfulness,18.227272727272727
May,yoga nidra,2.6818181818181817
June,breathwork,1.9545454545454546
June,guided meditation,3.409090909090909
June,meditation,69.4090909090909
June,mindfulness,17.272727272727273
June,yoga nidra,2.772727272727273
July,breathwork,1.826086956521739
July,guided meditation,3.652173913043478
July,meditation,71.91304347826087
July,mindfulness,16.956521739130434
July,yoga nidra,2.869565217391304
August,breathwork,1.5
August,guided meditation,4.090909090909091
August,meditation,75.81818181818181
August,mindfulness,18.045454545454547
August,yoga nidra,2.772727272727273
September,breathwork,1.6666666666666667
September,guided meditation,3.8095238095238093
September,meditation,77.23809523809524
September,mindfulness,20.238095238095237
September,yoga nidra,2.857142857142857
October,breathwork,1.565217391304348
October,guided meditation,3.9130434782608696
October,meditation,74.69565217391305
October,mindfulness,19.304347826086957
October,yoga nidra,2.739130434782609
November,breathwork,1.7142857142857142
November,guided meditation,3.761904761904762
November,meditation,74.61904761904762
November,mindfulness,19.761904761904763
November,yoga nidra,2.6666666666666665
December,breathwork,1.6363636363636365
December,guided meditation,3.4545454545454546
December,meditation,72.77272727272727
December,mindfulness,16.0
December,yoga nidra,2.6363636363636362
