country,keyword,search_interest,share_of_global_interest
Australia,breathwork,100,9.94
Ireland,breathwork,71,7.06
New Zealand,breathwork,70,6.96
Switzerland,breathwork,56,5.57
Netherlands,breathwork,48,4.77
Ireland,guided meditation,100,18.52
Australia,guided meditation,95,17.59
Canada,guided meditation,61,11.3
New Zealand,guided meditation,56,10.37
United Kingdom,guided meditation,45,8.33
Ireland,meditation,100,7.75
Australia,meditation,98,7.6
Canada,meditation,71,5.5
New Zealand,meditation,70,5.43
Switzerland,meditation,60,4.65
Ireland,mindfulness,100,5.1
Denmark,mindfulness,98,5.0
Australia,mindfulness,79,4.03
Netherlands,mindfulness,78,3.98
Spain,mindfulness,75,3.83
Iceland,yoga nidra,100,15.72
Netherlands,yoga nidra,53,8.33
Ireland,yoga nidra,39,6.13
Switzerland,yoga nidra,39,6.13
Sweden,yoga nidra,31,4.87
