keyword,country,top5_count
breathwork,Australia,1
breathwork,Ireland,1
breathwork,Netherlands,1
breathwork,New Zealand,1
breathwork,Switzerland,1
guided meditation,Australia,1
guided meditation,Canada,1
guided meditation,Ireland,1
guided meditation,New Zealand,1
guided meditation,United Kingdom,1
meditation,Australia,1
meditation,Canada,1
meditation,Ireland,1
meditation,New Zealand,1
meditation,Switzerland,1
mindfulness,Australia,1
mindfulness,Denmark,1
mindfulness,Ireland,1
mindfulness,Netherlands,1
mindfulness,Spain,1
yoga nidra,Iceland,1
yoga nidra,Ireland,1
yoga nidra,Netherlands,1
yoga nidra,Sweden,1
yoga nidra,Switzerland,1
